Item,Price
Bananas,0.60
Apples,1.50
Oranges,1.30
Grapes,2.50
Strawberries,3.00
Blueberries,3.50
Tomatoes,1.80
Cucumbers,1.00
Broccoli,2.00
Carrots,1.20
Spinach,3.00
Lettuce,1.80
Bell Peppers,1.50
Onions,1.00
Potatoes,0.80
Avocados,1.50
Garlic,0.60
Zucchini,1.50
Sweet Potatoes,1.00
Mushrooms,2.50
Milk,4.00
Eggs,3.00
Butter,4.00
Cheddar Cheese,3.00
Yogurt,1.00
Cottage Cheese,3.50
Sour Cream,2.50
Cream Cheese,2.50
Half And Half,3.50
Heavy Cream,4.00
Chicken Breast,4.50
Ground Beef,5.50
Pork Chops,5.00
Bacon,6.00
Sausage Links,4.00
Ground Turkey,4.50
Whole Chicken,2.00
Beef Steak,10.00
Salmon Fillet,12.00
Shrimp,10.00
Rice,1.50
Pasta,1.20
Flour,3.00
Sugar,3.50
Olive Oil,6.00
Vegetable Oil,8.00
Peanut Butter,3.00
Honey,5.00
Canned Tomatoes,1.20
Canned Beans,1.00
Pasta Sauce,3.00
Chicken Broth,2.50
Cereal,3.50
Oatmeal,3.00
Granola Bars,4.00
Tortillas,2.50
Bread,3.00
Bagels,3.50
Crackers,3.50
Chips,4.00
Frozen Pizza,6.00
Frozen Vegetables,2.50
Frozen Fruit,4.00
Ice Cream,5.00
Frozen French Fries,4.00
Frozen Chicken Nuggets,5.00
Frozen Waffles,3.00
Frozen Fish Fillets,8.00
Frozen Burritos,2.00
Frozen Pie,6.00
Orange Juice,4.00
Apple Juice,3.50
Soda,2.00
Bottled Water,4.00
Coffee,8.00
Tea Bags,3.00
Energy Drink,2.50
Almond Milk,3.50
Gatorade,1.50
Sparkling Water,5.00
Chocolate Bar,1.50
Cookies,3.50
Candy,4.00
Popcorn,3.00
Pretzels,3.50
Nuts,5.00
Fruit Snacks,4.00
Gum,1.50
Chips And Salsa,4.00
Trail Mix,6.00
Toilet Paper,8.00
Paper Towels,7.00
Dish Soap,3.00
Laundry Detergent,10.00
Aluminum Foil,3.50
Plastic Wrap,4.00
Sandwich Bags,3.00
Trash Bags,7.00
Sponges,2.50
Bleach,3.50